คุณรู้สึกว่าผิวหน้าของคุณใกล้เคียงกับตัวเลือกใดมากที่สุด,ปัญหาผิวหน้าที่คุณประสบอยู่คืออะไร? (เลือกได้หลายข้อ),Problem1,Problem2,Problem2,Problem3,Problem4,Problem5
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง,,,,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),สิวอุดตัน ผดสิว,สิวอุดตัน ผดสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว,,,
ผิวหน้ามัน,รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง,,,,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ,,,,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,,,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว,,,
ผิวหน้าธรรมดา - มีความสมดุลไม่ค่อยมีสิว,หลุม แผลเป็นจากสิว,หลุม แผลเป็นจากสิว,,,,,
ผิวหน้ามัน,รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง,,,,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง,,,,
ผิวหน้าแห้ง,รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),หลุม แผลเป็นจากสิว,หลุม แผลเป็นจากสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ฝ้า กระ จุดด่างดำจากแดด,ฝ้า กระ จุดด่างดำจากแดด,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ผิวหน้าหมองคล้ำ,,
ผิวหน้าธรรมดา - มีความสมดุลไม่ค่อยมีสิว,ผิวหน้าหมองคล้ำ,ผิวหน้าหมองคล้ำ,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง,,,,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,"รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, หลุม แผลเป็นจากสิว,,
ผิวหน้าแห้ง,"รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าธรรมดา - มีความสมดุลไม่ค่อยมีสิว,"รอยดำหรือรอยแดงจากสิว, มีริ้วรอย",รอยดำหรือรอยแดงจากสิว, มีริ้วรอย,,,,
ผิวหน้าแห้ง,"รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ,,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด",รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด,,,,
ผิวหน้ามัน,"มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ",มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ,,,,
ผิวหน้ามัน,ผิวหน้าหมองคล้ำ,ผิวหน้าหมองคล้ำ,,,,,
ผิวหน้าธรรมดา - มีความสมดุลไม่ค่อยมีสิว,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว,,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าธรรมดา - มีความสมดุลไม่ค่อยมีสิว,"รูขุมขนกว้าง, หลุม แผลเป็นจากสิว",รูขุมขนกว้าง, หลุม แผลเป็นจากสิว,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว,,,,
ผิวหน้ามัน,รูขุมขนกว้าง,รูขุมขนกว้าง,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว,,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด",รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ,,,,
ผิวหน้ามัน,รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว",รอยดำหรือรอยแดงจากสิว, หลุม แผลเป็นจากสิว,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ฝ้า กระ จุดด่างดำจากแดด,ฝ้า กระ จุดด่างดำจากแดด,,,,,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,,
ผิวหน้าแห้ง,ผิวแห้ง แพ้ง่าย,ผิวแห้ง แพ้ง่าย,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ,,,,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, ผิวหน้าหมองคล้ำ,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,มีริ้วรอย,มีริ้วรอย,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ฝ้า กระ จุดด่างดำจากแดด,ฝ้า กระ จุดด่างดำจากแดด,,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, มีริ้วรอย, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, รูขุมขนกว้าง, หลุม แผลเป็นจากสิว, ผิวหน้าหมองคล้ำ,,
ผิวหน้ามัน,"รูขุมขนกว้าง, มีริ้วรอย, ผิวหน้าหมองคล้ำ",รูขุมขนกว้าง, มีริ้วรอย, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าธรรมดา - มีความสมดุลไม่ค่อยมีสิว,"รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, ผิวหน้าหมองคล้ำ,,,,
ผิวหน้าแห้ง,"มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด",มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,"รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด",รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด,,,
ผิวหน้ามัน,ฝ้า กระ จุดด่างดำจากแดด,ฝ้า กระ จุดด่างดำจากแดด,,,,,
ผิวหน้าธรรมดา - มีความสมดุลไม่ค่อยมีสิว,มีริ้วรอย,มีริ้วรอย,,,,,
ผิวหน้าแห้ง,มีริ้วรอย,มีริ้วรอย,,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,"รูขุมขนกว้าง, มีริ้วรอย",รูขุมขนกว้าง, มีริ้วรอย,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),ฝ้า กระ จุดด่างดำจากแดด,ฝ้า กระ จุดด่างดำจากแดด,,,,,
ผิวหน้าแห้ง,"รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด",มีริ้วรอย, ฝ้า กระ จุดด่างดำจากแดด,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,"รูขุมขนกว้าง, มีริ้วรอย, ผิวหน้าหมองคล้ำ",รูขุมขนกว้าง, มีริ้วรอย, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าแห้ง,ฝ้า กระ จุดด่างดำจากแดด,ฝ้า กระ จุดด่างดำจากแดด,,,,,
ผิวหน้าแพ้ง่าย - บอบบาง มีสิว ผดผื่นขึ้นง่าย,รูขุมขนกว้าง,รูขุมขนกว้าง,,,,,
ผิวหน้าแห้ง,"ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ",ฝ้า กระ จุดด่างดำจากแดด, ผิวหน้าหมองคล้ำ,,,,
ผิวหน้าผสม - มันเฉพาะบริเวณ T-Zone (หน้าผาก จมูก และ คาง),"รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, ผิวหน้าหมองคล้ำ",รอยดำหรือรอยแดงจากสิว, มีริ้วรอย, ผิวหน้าหมองคล้ำ,,,
ผิวหน้าแห้ง,รอยดำหรือรอยแดงจากสิว,รอยดำหรือรอยแดงจากสิว,,,,,
ผิวหน้ามัน,"รอยดำหรือรอยแดงจากสิว, มีริ้วรอย",รอยดำหรือรอยแดงจากสิว, มีริ้วรอย,,,,